Pressure;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;L;V;D;B;F;Ethanol_concentration
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
1.01;350.82;350.86;350.89;350.94;350.99;351.06;351.14;351.25;351.41;351.66;352.08;353.01;354.75;362.92;780;1040;260;340;600;0.85144
